,Access time (ns),Area (mm2),Associativity,Capacity (bytes),Data arrary area efficiency %,Dynamic read energy (nJ),Dynamic search energy (nJ),Dynamic write energy (nJ),Ndbl,Ndcm,Ndsam_level_1,Ndsam_level_2,Ndwl,Nspd,Ntbl,Ntcm,Ntsam_level_1,Ntsam_level_2,Ntspd,Ntwl,Number of banks,Output width (bits),Random cycle time (ns),Standby leakage per bank(mW),Tag arrary area efficiency %,Tech node (nm),_runtime,_sweep,_variant
,0.938975,0.539085,1,32768,82.0565,0.0570589,N/A,0.0541473,2,16,1,1,2,1,2,1,8,1,4,2,1,64,0.963583,17.5108,69.9906,90,0.34,assoc,associativity_1
,0.941635,0.542675,2,32768,82.0697,0.058835,N/A,0.0588782,2,8,2,1,2,0.5,2,1,4,1,2,2,1,64,0.963583,17.58,71.0415,90,0.26,assoc,associativity_2
,0.9467,0.544766,4,32768,82.1365,0.0612141,N/A,0.0674788,2,4,4,1,2,0.25,2,1,2,1,1,2,1,64,0.963583,17.7232,71.4102,90,0.19,assoc,associativity_4
,0.956119,0.548479,8,32768,81.9452,0.0652272,N/A,0.0844187,2,2,8,1,2,0.125,2,1,1,1,0.5,2,1,64,0.963583,18.1938,72.1199,90,0.15,assoc,associativity_8
,0.983289,0.580644,16,32768,78.0325,0.0966379,N/A,0.0960255,2,2,16,1,2,0.125,2,1,1,1,0.5,2,1,64,1.45636,18.5967,63.0634,90,0.12,assoc,associativity_16
,0.785223,0.293536,4,16384,76.5862,0.0451153,N/A,0.0461366,2,4,4,1,2,0.25,2,1,2,1,1,2,1,64,0.827019,9.05741,62.6592,90,0.15,capacity,sizebytes_16384
,0.9467,0.544766,4,32768,82.1365,0.0612141,N/A,0.0674788,2,4,4,1,2,0.25,2,1,2,1,1,2,1,64,0.963583,17.7232,71.4102,90,0.21,capacity,sizebytes_32768
,1.11989,0.938195,4,65536,85.0316,0.109492,N/A,0.0985916,2,8,4,1,2,0.5,2,1,2,1,1,2,1,64,1.59324,32.2117,76.6841,90,0.25,capacity,sizebytes_65536
,1.63041,2.17422,4,131072,80.6379,0.132084,N/A,0.11457,4,8,4,1,2,0.5,2,1,4,1,2,2,1,64,1.59324,63.731,78.228,90,0.36,capacity,sizebytes_131072
,2.10156,4.15549,4,262144,83.8591,0.209571,N/A,0.180298,4,8,4,1,2,0.5,2,1,4,1,2,2,1,64,1.86851,126.597,81.7029,90,0.53,capacity,sizebytes_262144
,2.72012,8.36668,4,524288,82.6354,0.283021,N/A,0.207457,8,16,4,1,2,1,2,1,8,1,4,2,1,64,3.6161,240.318,84.3404,90,0.81,capacity,sizebytes_524288
,3.90555,16.7379,4,1048576,81.9963,0.364918,N/A,0.311631,16,16,4,1,2,1,2,1,4,2,4,2,1,64,3.6161,479.442,85.6381,90,1.22,capacity,sizebytes_1048576
,0.990344,0.657268,4,32768,82.1365,0.0717491,N/A,0.0842682,2,4,4,1,2,1,2,1,4,1,2,2,1,64,0.963583,21.108,78.7522,90,0.25,block,blocksizebytes_16
,0.9467,0.544857,4,32768,82.1365,0.0630753,N/A,0.0818295,2,4,4,1,2,0.5,2,1,2,1,1,2,1,64,0.963583,18.9621,76.9118,90,0.23,block,blocksizebytes_32
,0.9467,0.544766,4,32768,82.1365,0.0612141,N/A,0.0674788,2,4,4,1,2,0.25,2,1,2,1,1,2,1,64,0.963583,17.7232,71.4102,90,0.20,block,blocksizebytes_64
,0.9467,0.54489,4,32768,82.1365,0.0599858,N/A,0.0600059,2,4,4,1,2,0.125,2,1,2,1,1,2,1,64,0.963583,17.1006,62.4314,90,0.19,block,blocksizebytes_128
,0.247783,0.0379267,4,32768,69.556,0.00485553,N/A,0.00484712,4,4,4,1,2,0.25,2,1,2,1,1,2,1,64,0.198345,11.4651,69.1006,22,0.20,tech,technologyu_0.022
,0.32344,0.0688899,4,32768,82.1265,0.0115901,N/A,0.0109841,2,4,4,1,2,0.25,2,1,2,1,1,2,1,64,0.355519,25.0628,71.2607,32,0.19,tech,technologyu_0.032
,0.421253,0.136155,4,32768,82.148,0.0207366,N/A,0.0207759,2,4,4,1,2,0.25,2,1,2,1,1,2,1,64,0.466822,45.7193,71.5063,45,0.20,tech,technologyu_0.045
,0.677666,0.28615,4,32768,82.1351,0.0345125,N/A,0.0367118,2,4,4,1,2,0.25,2,1,2,1,1,2,1,64,0.680799,51.3143,69.1773,65,0.20,tech,technologyu_0.065
,0.9467,0.544766,4,32768,82.1365,0.0612141,N/A,0.0674788,2,4,4,1,2,0.25,2,1,2,1,1,2,1,64,0.963583,17.7232,71.4102,90,0.19,tech,technologyu_0.09
,0.9467,0.544766,4,32768,82.1365,0.0612141,N/A,0.0674788,2,4,4,1,2,0.25,2,1,2,1,1,2,1,64,0.963583,17.7232,71.4102,90,0.19,ports,readwriteport_1
,1.10686,1.10672,4,32768,81.9823,0.0744814,N/A,0.0836145,2,4,4,1,2,0.25,2,1,2,1,1,2,1,64,1.14561,20.238,69.6238,90,0.19,ports,readwriteport_2
,1.27443,1.84827,4,32768,82.4901,0.0876049,N/A,0.0995456,2,4,4,1,2,0.25,2,1,2,1,1,2,1,64,1.3368,22.782,68.7699,90,0.21,ports,readwriteport_3
,1.44862,2.75882,4,32768,82.2838,0.100688,N/A,0.115469,2,4,4,1,2,0.25,2,1,2,1,1,2,1,64,1.5354,25.3557,71.9863,90,0.20,ports,readwriteport_4
,0.9467,0.544766,4,32768,82.1365,0.0612141,N/A,0.0674788,2,4,4,1,2,0.25,2,1,2,1,1,2,1,64,0.963583,17.7232,71.4102,90,0.19,access_mode,"accessmodenormalsequentialfast_""normal"""
,0.938975,0.571562,4,32768,78.2894,0.0867606,N/A,0.17477,2,4,1,1,2,0.25,2,1,2,1,1,2,1,64,0.963583,17.7947,71.4102,90,0.22,access_mode,"accessmodenormalsequentialfast_""fast"""
,1.48915,0.545329,4,32768,82.0565,0.0585606,N/A,0.066418,2,16,1,1,2,1,2,1,2,1,1,2,1,64,0.963583,17.7293,71.4102,90,0.35,access_mode,"accessmodenormalsequentialfast_""sequential"""
